OpenML ID,N(feature),N(sample),All boolean?,Half Boolean?,ChEMBL ID,File name
6405,43,10,False,False,4612,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4612
6406,43,836,False,False,4516,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4516
6407,43,162,False,False,4620,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4620
6408,43,876,False,False,4581,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4581
6409,43,101,False,False,4715,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4715
6410,43,35,False,False,4731,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4731
6411,43,10,False,False,4748,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4748
6412,43,206,False,False,4767,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4767
6413,43,16,False,False,4809,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4809
6414,43,35,False,False,4835,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4835
6415,43,81,False,False,4849,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4849
6416,43,514,False,False,4860,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4860
6417,43,28,False,False,5021,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5021
6418,43,79,False,False,5044,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5044
6419,43,74,False,False,5047,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5047
6420,43,81,False,False,5081,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5081
6421,43,83,False,False,5198,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5198
6422,43,1024,False,False,4793,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4793
6423,43,18,False,False,5287,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5287
6424,43,20,False,False,5430,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5430
6425,43,949,False,False,5330,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5330
6426,43,54,False,False,5762,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5762
6427,43,10,False,False,5791,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5791
6428,43,80,False,False,5912,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5912
6429,43,91,False,False,5940,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5940
6430,43,175,False,False,5966,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5966
6431,43,746,False,False,5608,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5608
6432,43,82,False,False,6054,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL6054
6433,43,26,False,False,6120,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL6120
6434,43,10,False,False,6126,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL6126
6435,43,69,False,False,6113,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL6113
6436,43,63,False,False,6154,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL6154
23520,617,42,False,False,1293314,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1293314
23521,43,21,False,False,2911,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2911
23522,1024,54,True,True,5869,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5869
23523,51,62,True,True,3676,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3676
23524,4,19,False,False,2922,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2922
23525,1250,62,False,False,2592,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2592
23526,64,157,False,False,3272,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3272
23527,2,17,False,False,1926497,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1926497
23528,2,18,False,False,5653,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5653
23529,1024,25,True,True,2530,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2530
23530,51,11,True,True,1671609,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1671609
23531,677,24,False,False,4659,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4659
23532,205,14,True,True,2204,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2204
23533,1381,913,False,False,4481,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4481
23534,6,22,False,False,2497,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2497
23535,43,13,False,False,3284,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3284
23536,606,49,False,False,2745,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2745
23537,43,407,False,False,3048,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3048
23538,142,3058,False,False,262,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL262
23539,11,276,False,False,6002,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL6002
23540,102,864,True,True,3438,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3438
23541,51,12,True,True,1255122,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1255122
23542,497,62,False,False,4959,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4959
23543,63,138,False,False,2474,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2474
23544,102,338,True,True,3202,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3202
23545,1024,176,True,True,1987,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1987
23546,1024,1071,True,True,1741207,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1741207
23547,51,47,True,True,5774,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5774
23548,67,224,False,False,1892,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1892
23549,51,37,True,True,1641348,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1641348
23550,68,298,False,False,3151,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3151
23551,69,218,False,False,2725,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2725
23552,1024,62,True,True,4461,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4461
23553,1024,494,True,True,2889,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2889
23554,1198,44,False,False,3945,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3945
23555,102,14,True,True,6012,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL6012
23556,43,748,False,False,2028,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2028
23557,51,99,True,True,5754,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5754
23558,51,93,True,True,2093862,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2093862
23559,1384,1524,False,False,231,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL231
23560,1407,2230,False,False,1824,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1824
23561,230,30,False,False,1795181,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1795181
23562,51,454,True,True,1908,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1908
23563,1323,361,False,False,1980,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1980
23564,4,26,False,False,2146301,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2146301
23565,51,37,True,True,1744522,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1744522
23566,522,75,False,False,5836,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5836
23567,1024,49,True,True,5098,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5098
23568,2,35,False,False,3383,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3383
23569,17,91,False,False,1923,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1923
23570,51,740,True,True,1792,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1792
23571,9,242,False,False,1293263,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1293263
23572,410,3134,True,True,264,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL264
23573,51,14,True,True,5595,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5595
23574,1028,11,False,False,1293290,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1293290
23575,102,23,True,True,2794,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2794
23576,43,81,False,False,2935,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2935
23577,102,41,True,True,2718,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2718
23578,43,66,False,False,3736,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3736
23579,1231,17,False,False,1743123,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1743123
23580,43,935,False,False,4471,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4471
23581,102,49,True,True,4305,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4305
23582,2,21,False,False,2316,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2316
23583,1024,58,True,True,5852,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5852
23584,19,127,False,False,1163125,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1163125
23585,1253,147,False,False,3455,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3455
23586,69,987,False,False,4225,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4225
23587,62,197,False,False,6184,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL6184
23588,1024,89,True,True,1837,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1837
23589,51,213,True,True,2026,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2026
23590,6,137,False,False,3176,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3176
23591,51,70,True,True,3660,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3660
23592,154,33,True,True,2111472,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2111472
23593,43,27,False,False,1944498,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1944498
23594,1377,668,False,False,4792,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4792
23595,1182,26,False,False,2754,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2754
23596,43,969,False,False,4045,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4045
23597,43,35,False,False,2898,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2898
23598,43,175,False,False,5966,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5966
23599,1136,47,False,False,2150838,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2150838
23600,43,51,False,False,3666,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3666
23601,43,257,False,False,5036,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5036
23602,1172,17,False,False,4313,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4313
23603,51,30,True,True,2286,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2286
23604,43,2869,False,False,225,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL225
23605,1125,14,False,False,4889,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4889
23606,285,3490,False,False,226,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL226
23607,682,17,False,False,4850,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4850
23608,30,338,False,False,3202,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3202
23609,1237,190,False,False,3254,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3254
23610,43,17,False,False,1075061,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1075061
23611,51,57,True,True,5211,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5211
23612,63,147,False,False,3455,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3455
23613,2,10,False,False,5187,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5187
23614,506,13,False,False,4726,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4726
23615,51,1116,True,True,4203,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4203
23616,2,23,False,False,5255,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5255
23617,64,262,False,False,4554,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4554
23618,2,15,False,False,3077,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3077
23619,1403,1330,False,False,4072,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4072
23620,54,10,False,False,4757,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4757
23621,1024,246,True,True,2488,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2488
23622,4,43,False,False,5982,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5982
23623,51,28,True,True,2498,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2498
23624,1024,40,True,True,3034,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3034
23625,1290,136,False,False,3753,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3753
23626,51,74,True,True,1075133,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1075133
23627,15,237,False,False,3338,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3338
23628,43,2442,False,False,3717,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3717
23629,1429,1492,False,False,3594,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3594
23630,1375,278,False,False,2146296,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2146296
23631,512,22,True,True,3536,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3536
23632,43,62,False,False,4461,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4461
23633,154,12,True,True,2188,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2188
23634,812,51,False,False,3492,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3492
23635,43,47,False,False,1255150,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1255150
23636,64,189,False,False,4329,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4329
23637,1325,514,False,False,2047,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2047
23638,1024,79,True,True,5044,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5044
23639,51,119,True,True,2095198,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2095198
23640,9,190,False,False,3025,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3025
23641,2,74,False,False,5435,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5435
23642,725,28,False,False,1944497,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1944497
23643,205,204,True,True,6145,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL6145
23644,1024,85,True,True,3604,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3604
23645,66,621,False,False,257,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL257
23646,51,134,True,True,2097166,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2097166
23647,1226,61,False,False,3363,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3363
23648,1354,891,False,False,4566,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4566
23649,1024,54,True,True,2072,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2072
23650,59,77,False,False,5351,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5351
23651,43,218,False,False,2725,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2725
23652,1024,237,True,True,2095226,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2095226
23653,2,53,False,False,4222,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4222
23654,4,58,False,False,5879,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5879
23655,800,17,False,False,1743123,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1743123
23656,1390,2869,False,False,225,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL225
23657,1056,15,False,False,1075100,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1075100
23658,51,80,True,True,5467,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5467
23659,1024,122,True,True,1293249,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1293249
23660,43,13,False,False,2157850,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2157850
23661,102,1239,True,True,4247,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4247
23662,62,101,False,False,4715,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4715
23663,51,534,True,True,3982,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3982
23664,51,328,True,True,5424,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5424
23665,43,794,False,False,2049,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2049
23666,2,47,False,False,3994,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3994
23667,51,135,True,True,5203,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5203
23668,51,417,True,True,2093866,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2093866
23669,51,26,True,True,2073673,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2073673
23670,1024,1089,True,True,1841,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1841
23671,51,477,True,True,2061,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2061
23672,144,5013,False,False,203,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL203
23673,117,51,False,False,4843,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4843
23674,15,85,False,False,2167,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2167
23675,1024,49,True,True,2111363,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2111363
23676,1215,64,False,False,266,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL266
23677,61,103,False,False,2074,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2074
23678,51,106,True,True,6029,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL6029
23679,68,470,False,False,3160,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3160
23680,43,283,False,False,2274,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2274
23681,51,399,True,True,2882,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2882
23682,761,55,False,False,3640,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3640
23683,358,16,True,True,1075172,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1075172
23684,43,145,False,False,1939,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1939
23685,43,30,False,False,3858,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3858
23686,51,373,True,True,3332,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3332
23687,1103,17,False,False,5696,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5696
23688,43,203,False,False,4315,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4315
23689,43,44,False,False,1781859,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1781859
23690,51,13,True,True,4239,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4239
23691,102,23,True,True,2880,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2880
23692,1024,27,True,True,6129,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL6129
23693,69,396,False,False,2007629,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2007629
23694,1096,19,False,False,1932898,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1932898
23695,9,40,False,False,1984,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1984
23696,2,86,False,False,4355,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4355
23697,64,133,False,False,5575,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5575
23698,51,636,True,True,1795093,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1795093
23699,43,752,False,False,3602,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3602
23700,51,12,True,True,2111430,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2111430
23701,1024,237,True,True,3338,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3338
23702,2,73,False,False,1163124,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1163124
23703,1140,10,False,False,3904,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3904
23704,43,143,False,False,401,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL401
23705,1296,75,False,False,5415,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5415
23706,43,12,False,False,1255122,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1255122
23707,43,70,False,False,2457,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2457
23708,66,226,False,False,3658,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3658
23709,2,63,False,False,5524,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL5524
23710,43,170,False,False,4376,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4376
23711,2,22,False,False,4592,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4592
