,Unnamed: 0,File directory,File name,Dimension(filtered),N(sample),N(filtered feature),Repetition Rate,File directory(CEB server/Iris)
10,10,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2111473.csv,data_CHEMBL2111473.csv,"(35, 93)",35,93,0.11428571428571428,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2111473.csv
11,11,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4224.csv,data_CHEMBL4224.csv,"(244, 563)",244,563,0.4180327868852459,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4224.csv
12,12,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2046259.csv,data_CHEMBL2046259.csv,"(35, 74)",35,74,0.11428571428571428,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2046259.csv
13,13,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4542.csv,data_CHEMBL4542.csv,"(84, 199)",84,199,0.30952380952380953,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4542.csv
14,14,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2097170.csv,data_CHEMBL2097170.csv,"(450, 810)",450,810,0.23555555555555555,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2097170.csv
15,15,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1795093.csv,data_CHEMBL1795093.csv,"(636, 905)",636,905,0.4968553459119497,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1795093.csv
16,16,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2866.csv,data_CHEMBL2866.csv,"(43, 88)",43,88,0.046511627906976744,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2866.csv
17,17,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2872.csv,data_CHEMBL2872.csv,"(143, 525)",143,525,0.42657342657342656,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2872.csv
18,18,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL323.csv,data_CHEMBL323.csv,"(213, 295)",213,295,0.023474178403755867,/home/iris/PA/qsar_data_unsorted/data_CHEMBL323.csv
19,19,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5847.csv,data_CHEMBL5847.csv,"(299, 290)",299,290,0.26755852842809363,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5847.csv
20,20,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4581.csv,data_CHEMBL4581.csv,"(876, 698)",876,698,0.03881278538812785,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4581.csv
21,21,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5310.csv,data_CHEMBL5310.csv,"(84, 452)",84,452,0.7619047619047619,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5310.csv
22,22,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3761.csv,data_CHEMBL3761.csv,"(54, 32)",54,32,0.07407407407407407,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3761.csv
23,23,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2094135.csv,data_CHEMBL2094135.csv,"(302, 325)",302,325,0.052980132450331126,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2094135.csv
24,24,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4768.csv,data_CHEMBL4768.csv,"(437, 515)",437,515,0.07780320366132723,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4768.csv
25,25,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2319.csv,data_CHEMBL2319.csv,"(124, 328)",124,328,0.1532258064516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2319.csv
26,26,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5476.csv,data_CHEMBL5476.csv,"(75, 421)",75,421,0.64,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5476.csv
27,27,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5462.csv,data_CHEMBL5462.csv,"(155, 237)",155,237,0.1032258064516129,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5462.csv
28,28,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3775.csv,data_CHEMBL3775.csv,"(244, 473)",244,473,0.10655737704918032,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3775.csv
29,29,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2094121.csv,data_CHEMBL2094121.csv,"(638, 615)",638,615,0.061128526645768025,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2094121.csv
30,30,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2095217.csv,data_CHEMBL2095217.csv,"(133, 333)",133,333,0.09774436090225563,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2095217.csv
31,31,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3985.csv,data_CHEMBL3985.csv,"(53, 47)",53,47,0.16981132075471697,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3985.csv
32,32,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4032.csv,data_CHEMBL4032.csv,"(37, 72)",37,72,0.10810810810810811,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4032.csv
33,33,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2094109.csv,data_CHEMBL2094109.csv,"(316, 476)",316,476,0.06329113924050633,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2094109.csv
34,34,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2325.csv,data_CHEMBL2325.csv,"(39, 47)",39,47,0.07692307692307693,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2325.csv
35,35,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL6157.csv,data_CHEMBL6157.csv,"(87, 68)",87,68,0.04597701149425287,/home/iris/PA/qsar_data_unsorted/data_CHEMBL6157.csv
36,36,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2331.csv,data_CHEMBL2331.csv,"(233, 244)",233,244,0.02145922746781116,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2331.csv
37,37,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3991.csv,data_CHEMBL3991.csv,"(366, 548)",366,548,0.04918032786885246,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3991.csv
38,38,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4026.csv,data_CHEMBL4026.csv,"(720, 876)",720,876,0.31666666666666665,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4026.csv
39,39,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4973.csv,data_CHEMBL4973.csv,"(80, 142)",80,142,0.1875,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4973.csv
40,40,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2480.csv,data_CHEMBL2480.csv,"(84, 208)",84,208,0.13095238095238096,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2480.csv
41,41,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2096905.csv,data_CHEMBL2096905.csv,"(54, 140)",54,140,0.07407407407407407,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2096905.csv
42,42,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1837.csv,data_CHEMBL1837.csv,"(89, 159)",89,159,0.056179775280898875,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1837.csv
43,43,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL6180.csv,data_CHEMBL6180.csv,"(140, 354)",140,354,0.85,/home/iris/PA/qsar_data_unsorted/data_CHEMBL6180.csv
44,44,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL6194.csv,data_CHEMBL6194.csv,"(39, 128)",39,128,0.23076923076923078,/home/iris/PA/qsar_data_unsorted/data_CHEMBL6194.csv
45,45,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2096911.csv,data_CHEMBL2096911.csv,"(218, 239)",218,239,0.45871559633027525,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2096911.csv
46,46,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2093869.csv,data_CHEMBL2093869.csv,"(1891, 828)",1891,828,0.04230565838180857,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2093869.csv
47,47,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3952.csv,data_CHEMBL3952.csv,"(1863, 851)",1863,851,0.07836822329575953,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3952.csv
48,48,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2494.csv,data_CHEMBL2494.csv,"(108, 515)",108,515,0.7314814814814815,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2494.csv
49,49,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4608.csv,data_CHEMBL4608.csv,"(692, 609)",692,609,0.08670520231213873,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4608.csv
50,50,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5270.csv,data_CHEMBL5270.csv,"(31, 54)",31,54,0.03225806451612903,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5270.csv
51,51,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2007629.csv,data_CHEMBL2007629.csv,"(396, 837)",396,837,0.012626262626262626,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2007629.csv
52,52,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3629.csv,data_CHEMBL3629.csv,"(939, 939)",939,939,0.5388711395101171,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3629.csv
53,53,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5258.csv,data_CHEMBL5258.csv,"(79, 431)",79,431,0.7974683544303798,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5258.csv
54,54,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4620.csv,data_CHEMBL4620.csv,"(162, 288)",162,288,0.08641975308641975,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4620.csv
55,55,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1980.csv,data_CHEMBL1980.csv,"(361, 563)",361,563,0.2077562326869806,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1980.csv
56,56,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1994.csv,data_CHEMBL1994.csv,"(551, 693)",551,693,0.09074410163339383,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1994.csv
57,57,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4185.csv,data_CHEMBL4185.csv,"(57, 127)",57,127,0.47368421052631576,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4185.csv
58,58,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1943.csv,data_CHEMBL1943.csv,"(53, 122)",53,122,0.07547169811320754,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1943.csv
59,59,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2292.csv,data_CHEMBL2292.csv,"(1312, 984)",1312,984,0.2263719512195122,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2292.csv
60,60,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3198.csv,data_CHEMBL3198.csv,"(229, 292)",229,292,0.09170305676855896,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3198.csv
61,61,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2286.csv,data_CHEMBL2286.csv,"(30, 50)",30,50,0.06666666666666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2286.csv
62,62,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1957.csv,data_CHEMBL1957.csv,"(2145, 990)",2145,990,0.16736596736596737,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1957.csv
63,63,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4191.csv,data_CHEMBL4191.csv,"(226, 281)",226,281,0.05752212389380531,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4191.csv
64,64,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1293239.csv,data_CHEMBL1293239.csv,"(499, 806)",499,806,0.5551102204408818,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1293239.csv
65,65,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2304401.csv,data_CHEMBL2304401.csv,"(68, 86)",68,86,0.1323529411764706,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2304401.csv
66,66,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3371.csv,data_CHEMBL3371.csv,"(2408, 877)",2408,877,0.03737541528239203,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3371.csv
67,67,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2146311.csv,data_CHEMBL2146311.csv,"(73, 327)",73,327,0.0273972602739726,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2146311.csv
68,68,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1641361.csv,data_CHEMBL1641361.csv,"(56, 6)",56,6,0.6071428571428571,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1641361.csv
69,69,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5072.csv,data_CHEMBL5072.csv,"(89, 472)",89,472,0.5955056179775281,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5072.csv
70,70,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2095149.csv,data_CHEMBL2095149.csv,"(491, 886)",491,886,0.2769857433808554,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2095149.csv
71,71,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3403.csv,data_CHEMBL3403.csv,"(233, 254)",233,254,0.12017167381974249,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3403.csv
72,72,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2094257.csv,data_CHEMBL2094257.csv,"(292, 397)",292,397,0.0273972602739726,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2094257.csv
73,73,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4422.csv,data_CHEMBL4422.csv,"(468, 392)",468,392,0.021367521367521368,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4422.csv
74,74,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2095161.csv,data_CHEMBL2095161.csv,"(748, 939)",748,939,0.7874331550802139,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2095161.csv
75,75,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3359.csv,data_CHEMBL3359.csv,"(202, 318)",202,318,0.2871287128712871,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3359.csv
76,76,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2047.csv,data_CHEMBL2047.csv,"(514, 569)",514,569,0.048638132295719845,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2047.csv
77,77,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5728.csv,data_CHEMBL5728.csv,"(73, 412)",73,412,0.6986301369863014,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5728.csv
78,78,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1908387.csv,data_CHEMBL1908387.csv,"(72, 409)",72,409,0.7222222222222222,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1908387.csv
79,79,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2912.csv,data_CHEMBL2912.csv,"(46, 87)",46,87,0.043478260869565216,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2912.csv
80,80,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL257.csv,data_CHEMBL257.csv,"(621, 522)",621,522,0.05636070853462158,/home/iris/PA/qsar_data_unsorted/data_CHEMBL257.csv
81,81,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4393.csv,data_CHEMBL4393.csv,"(462, 614)",462,614,0.08225108225108226,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4393.csv
82,82,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5932.csv,data_CHEMBL5932.csv,"(148, 491)",148,491,0.42567567567567566,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5932.csv
83,83,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2085.csv,data_CHEMBL2085.csv,"(172, 333)",172,333,0.05813953488372093,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2085.csv
84,84,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL256.csv,data_CHEMBL256.csv,"(3438, 991)",3438,991,0.06748109365910412,/home/iris/PA/qsar_data_unsorted/data_CHEMBL256.csv
85,85,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5098.csv,data_CHEMBL5098.csv,"(49, 97)",49,97,0.061224489795918366,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5098.csv
86,86,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4386.csv,data_CHEMBL4386.csv,"(59, 99)",59,99,0.05084745762711865,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4386.csv
87,87,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1075261.csv,data_CHEMBL1075261.csv,"(42, 56)",42,56,0.07142857142857142,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1075261.csv
88,88,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1908386.csv,data_CHEMBL1908386.csv,"(72, 409)",72,409,0.7361111111111112,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1908386.csv
89,89,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2095174.csv,data_CHEMBL2095174.csv,"(334, 783)",334,783,0.08083832335329341,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2095174.csv
90,90,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1641348.csv,data_CHEMBL1641348.csv,"(37, 192)",37,192,0.02702702702702703,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1641348.csv
91,91,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5729.csv,data_CHEMBL5729.csv,"(35, 68)",35,68,1.0,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5729.csv
92,92,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3358.csv,data_CHEMBL3358.csv,"(837, 632)",837,632,0.08124253285543608,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3358.csv
93,93,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4423.csv,data_CHEMBL4423.csv,"(293, 779)",293,779,0.23890784982935154,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4423.csv
94,94,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2095160.csv,data_CHEMBL2095160.csv,"(293, 338)",293,338,0.05460750853242321,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2095160.csv
95,95,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2094256.csv,data_CHEMBL2094256.csv,"(748, 699)",748,699,0.03074866310160428,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2094256.csv
96,96,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3402.csv,data_CHEMBL3402.csv,"(700, 913)",700,913,0.41,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3402.csv
97,97,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5073.csv,data_CHEMBL5073.csv,"(399, 836)",399,836,0.46365914786967416,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5073.csv
98,98,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2146304.csv,data_CHEMBL2146304.csv,"(940, 994)",940,994,0.3074468085106383,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2146304.csv
99,99,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5701.csv,data_CHEMBL5701.csv,"(79, 434)",79,434,0.4936708860759494,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5701.csv
100,100,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3416.csv,data_CHEMBL3416.csv,"(45, 73)",45,73,0.044444444444444446,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3416.csv
101,101,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5067.csv,data_CHEMBL5067.csv,"(240, 296)",240,296,0.029166666666666667,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5067.csv
102,102,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3199.csv,data_CHEMBL3199.csv,"(894, 660)",894,660,0.06152125279642058,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3199.csv
103,103,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3833.csv,data_CHEMBL3833.csv,"(89, 133)",89,133,0.2696629213483146,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3833.csv
104,104,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1942.csv,data_CHEMBL1942.csv,"(520, 744)",520,744,0.04230769230769231,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1942.csv
105,105,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2096680.csv,data_CHEMBL2096680.csv,"(223, 259)",223,259,0.32286995515695066,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2096680.csv
106,106,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1995.csv,data_CHEMBL1995.csv,"(393, 541)",393,541,0.24936386768447838,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1995.csv
